cell_id,LST_Celsius,NDVI,NDBI,Elevation,lon,lat,road_length_m,distance_to_coast_m
3877,33.07343218424704,-0.0335093541743228,-0.1619492280554383,1.433821497651284,67.18413975168497,24.75598753101579,0.0,69.83448071257995
3878,31.901768448732387,0.3942433051015686,-0.3652248162689187,2.201463684065175,67.18407412437618,24.76050094525307,0.0,63.23021873392066
3879,32.19996591521128,0.5623003155098064,-0.4184586744510677,3.384700359016846,67.18400848111438,24.76501435660836,0.0,412.8416193578339
3880,30.048740964225363,0.1667228984346414,-0.2713390968455678,1.950704225352112,67.18394282189699,24.76952776508125,0.0,7.284487688695702
3881,28.901104350526765,-0.1405233542319162,-0.0373832469696854,0.0,67.18387714672156,24.774041170671342,0.0,484.68103642242744
3882,29.03599049811629,-0.0860472212053504,-0.0076152012247696,0.0,67.18381145558551,24.77855457337822,0.0,596.6886487231178
3883,29.17001578577468,-0.0738775857556896,-0.0677243443532683,0.0,67.18374574848633,24.78306797320148,0.0,294.13284057148235
3884,31.192389272444405,-0.0039237893984959,-0.1290284047772962,0.0598314218598867,67.18368002542148,24.78758137014071,0.0,226.01707450940384
3885,34.887397500458974,0.06102635478179,-0.0844214901810149,0.9001935305501799,67.18361428638842,24.792094764195493,0.0,46.5630217937214
3886,32.677535181227896,0.5237025797610529,-0.3678508644353965,2.253871681415929,67.1835485313846,24.79660815536544,0.0,210.50847081436086
3887,31.74752327007464,0.1807926009241071,-0.2432450973358397,0.8120508568269762,67.18348276040753,24.80112154365013,0.0,110.8684529604337
3888,37.913330743222346,0.1173325822976599,-0.0635981383316331,1.945557551471604,67.1834169734546,24.80563492904916,1190.5943519780371,136.62996779042282
3889,46.15362851728655,0.1295778680070262,0.0775583431254921,12.113152804642167,67.18335117052337,24.81014831156212,3493.4972108798274,356.82555754979313
3890,44.323371825774665,0.0848872005378537,0.0563276091688677,14.371582435791218,67.18328535161123,24.8146616911886,18765.5567747489,850.2810828897277
3891,43.813519535633816,0.089527776873622,0.0491415895679141,15.464374482187242,67.18321951671564,24.81917506792818,22618.60722797323,1343.736608229175
3892,42.81074833185321,0.1628537066581675,0.0149598693370092,17.966606871809024,67.1831536658341,24.82368844178048,16985.46589496246,1837.2869702746473
3893,43.061881538313806,0.3691541632090552,-0.0431790183451113,22.457568649096174,67.18308779896404,24.828201812745075,2247.556589825777,2309.4173670054356
3894,42.33047610252937,0.433938760979987,-0.1077176133913476,26.424409774955134,67.18302191610293,24.832715180821545,5329.622995727351,2681.214711097611
3895,43.23974993914342,0.1384488424603948,0.0317235900617894,23.877037855761262,67.18295601724823,24.83722854600951,18252.590525882813,3089.4038387155388
3896,43.50279640873242,0.1529781753555227,0.0224394878139681,20.914526373929878,67.18289010239737,24.84174190830855,12199.032532093785,3521.351988941268
3897,44.21244734669798,0.1231459904870751,0.0438550442568846,20.41506830412585,67.18282417154785,24.846255267718245,11358.709561106783,3969.310214764626
3898,45.092379600563405,0.1420663787066825,0.0436429872709944,20.646092239712782,67.18275822469708,24.85076862423821,4368.538852940851,4428.4226685959275
3899,46.02567292536266,0.1782567629404149,0.0350777355381498,18.99226412487913,67.18269226184256,24.85528197786801,9588.23003592674,4895.55217336188
3900,44.730732480743335,0.3971724638250288,-0.079846930579388,15.97292069632496,67.18262628298172,24.85979532860728,2689.636196359371,5365.308937393915
3901,42.98275188690143,0.3489667574765299,-0.0642681070457023,16.409831538249104,67.18256028811199,24.86430867645556,2475.221174319284,5834.828690331135
3902,44.02191711095201,0.1607948270131758,0.0239460739356592,20.63907284768213,67.18249427723083,24.86882202141248,10944.331748786302,6309.034133450131
3903,44.72310010067342,0.1647639500373598,0.0174575366201634,21.59417690078654,67.18242825033573,24.873335363477604,11679.412341512772,6786.943166713981
3904,44.7658585012583,0.1102940119585728,0.0414890048208775,23.0594646799117,67.18236220742412,24.87784870265056,16719.078144299114,7267.825217978359
3905,44.74832149754833,0.1562002289695775,0.0199678100681724,23.882937603533964,67.18229614849342,24.882362038930903,14524.895567564172,7751.126966423386
3906,46.10517096538061,0.2166410143904946,0.0205759163708625,21.01337562051849,67.18223007354112,24.886875372318265,9398.76772182164,8236.42246972796
3907,46.11539580347768,0.2001991824269133,0.0274761258983365,21.93684500827358,67.18216398256465,24.891388702812204,4860.5127753853085,8723.378986936777
3908,45.29792291878504,0.1410881624923754,0.025350395434931,25.031754797735736,67.18209787556144,24.895902030412334,12796.549686894452,9211.733105084313
3909,47.06840200028169,0.1402883608702908,0.0478853281766504,27.13297431648716,67.18203175252894,24.90041535511824,7840.338063695267,9701.273764231046
3910,48.72377428957747,0.1442305621658205,0.0661823783649658,27.771471969069317,67.18196561346463,24.90492867692951,4975.429636820082,10191.829987665998
3911,49.585948802133295,0.1511781078371843,0.0979003386446029,29.45425693390368,67.18189945836592,24.90944199584575,1534.1646072606925,10683.26187763311
3912,50.06838940069765,0.1449445725114807,0.1040843018230524,29.393905969943475,67.18183328723026,24.91395531186654,0.0,11175.453914466514
3913,48.9014173405219,0.1660118105199925,0.0893017428817146,33.23609001794836,67.18176710005511,24.91846862499149,0.0,11668.309905137334
3914,47.89765486796632,0.220129628319747,0.0362811174145558,35.348750517741266,67.18170089683788,24.922981935220182,1767.5770619088153,12161.749129544605
